PRODUCTO,PRECIO,CATEGORIA,SUBCATEGORIA,DESCUENTO
CARTABELLA ROLLO COCINAX3,1900.0,ALMACÉN,Básico,0
CHAMPIGNION LATA TROZOS,3500.0,ALMACÉN,Básico,0
CHIPA X6 U,4500.0,CONGELADOS,GUSTITOS,10
CHIZITOS 100G JULI-CROC,1000.0,SNACKS,Fraccionado,0
CHOCOLATADA BAGGIO 200CC,250.0,BEBIDA,,0
CHOCOLATE MISKY 8G BLANCO,500.0,DULCES,,0
CHOCOLATE MISKY 8G NEGRO,500.0,DULCES,,0
CHOCOLATIN DE A DOS,1500.0,DULCES,,0
COMBO CLASICOS PATITAS + PAPAS,5200.0,COMBOS,,0
COMBO MEDALLOS CLA. + PAPAS,6300.0,COMBOS,,0
CONO DDLL,2500.0,HELADOS,,0
COPA 200 CC DDL Y VAIN,2500.0,HELADOS,,0
COPA 360 CC VFD,2300.0,HELADOS,,0
DIET STEVIA 200MM,1700.0,DIETÉTICA,Saludable,0
DOS HERMANOS ARROZ LARGO FINO 500G,750.0,ALMACÉN,Básico,0
DULCY AZUCAR 1KG,1500.0,ALMACÉN,Básico,0
EMETH DULCE DE BATATA,1800.0,DIETÉTICA,Saludable,0
EMETH DULCE DE BATATA /C CHOCOLT.,2000.0,DIETÉTICA,Saludable,0
EMETH DULCE DE MEMBRILLO,1800.0,DIETÉTICA,Saludable,0
ENCENDEDOR KRASH,1000.0,CONVENIENCIA,,0
ESTANCIA MENDOZA BLEND BLANCO,3700.0,ALCOHOL,,0
GARRAPINADA 70G,900.0,SNACKS,Fraccionado,0
GUAYMALLEN SIMPLE BLANCO,500.0,DULCES,,0
GUAYMALLEN SIMPLE NEGRO,500.0,DULCES,,0
HALCONERO VINAGRE ALCOHOL,1200.0,ALMACÉN,Básico,0
HALCONERO VINAGRE ALCOHOL 930,1300.0,ALMACÉN,Básico,0
HALCONERO VINAGRE MANZANA,2200.0,ALMACÉN,Básico,0
HALCONERO VINAGRE VINO,1700.0,ALMACÉN,Básico,0
HAMLET FRUTILLA,1200.0,DULCES,,0
JUGO NARANJA 1L BIG C,1300.0,BEBIDA,,0
KETCHUP HELLMANS 250G,2600.0,ALMACÉN,Básico,0
LA VIRGINIA CAFE SUAVE 100G,6200.0,ALMACÉN,Básico,0
LA VIRGINIA TE 10 X 25 SAQ,1300.0,ALMACÉN,Básico,0
LA VIRGINIA TE BOLDO 6 X 25 SAQ,2500.0,ALMACÉN,Básico,0
LA VIRGINIA TE CEDRON 6 X 25,2400.0,ALMACÉN,Básico,0
LA VIRGINIA TE CHAI 6 X 20,2800.0,ALMACÉN,Básico,0
LA VIRGINIA TE DURAZNO 6 X 20,1900.0,ALMACÉN,Básico,0
LA VIRGINIA TE FRUTILLA 6 X 20,2800.0,ALMACÉN,Básico,0
LA VIRGINIA TE LIMON 6 X 20,2400.0,ALMACÉN,Básico,0
LA VIRGINIA TE MANZANILLA 6 X 25,2000.0,ALMACÉN,Básico,0
LA VIRGINIA TE MENTA 6 X 25,2000.0,ALMACÉN,Básico,0
LA VIRGINIA TE MEZCLA HIERBAS 6 X,2200.0,ALMACÉN,Básico,0
LA VIRGINIA TE ROJO 6 X 20,2800.0,ALMACÉN,Básico,0
LA VIRGINIA TE TILO 6 X 25,4000.0,ALMACÉN,Básico,0
LA VIRGINIA TE TILO/MANZANI/CEDRON,2900.0,ALMACÉN,Básico,0
LA VIRGINIA TE VERDE 6 X 20,2000.0,ALMACÉN,Básico,0
LECHE 7 DIAS,1950.0,ALMACÉN,Básico,0
MANTECA TEODORO,1500.0,REFRIGERADOS,,0
MANÍ CERV. JAMÓN 170G,1850.0,SNACKS,Fraccionado,0
MANÍ CERV. PANCETA 170G,1850.0,SNACKS,Fraccionado,0
MANÍ CERV. PIZZA 170G,1850.0,SNACKS,Fraccionado,0
MANÍ SALADO 170G,1300.0,SNACKS,Fraccionado,0
MARROC CHICO 14G,1300.0,DULCES,,0
MAYONESA HELLAMNS 237G,1700.0,ALMACÉN,Básico,0
MEDALLON POLLO ESP / Q,7750.0,CONGELADOS,Rebozados,0
MEDALLON POLLO J/Q,8750.0,CONGELADOS,Rebozados,0
MEDALLON POLLO NATURAL,7750.0,CONGELADOS,Rebozados,0
