"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto"
"0.0","0.0","","","GUANTES X100","1.0","","Unidades","DESCARTABLES"
"37.0","37.0","","","GUAYMALLEN SIMPLE BLANCO","500.0","","Unidades","DULCES"
"36.0","36.0","","","GUAYMALLEN SIMPLE NEGRO","500.0","","Unidades","DULCES"
"1.0","1.0","","","HALCONERO VINAGRE ALCOHOL","1200.0","","Unidades","ALMACÉN / Básico"
"0.0","0.0","","","HALCONERO VINAGRE ALCOHOL 930","1300.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","HALCONERO VINAGRE MANZANA","2200.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","HALCONERO VINAGRE VINO","1700.0","","Unidades","ALMACÉN / Básico"
"19.0","19.0","","","HAMLET FRUTILLA","1200.0","","Unidades","DULCES"
"0.0","0.0","","","JUGO NARANJA 1L BIG C","1300.0","","Unidades","BEBIDA"
"5.0","5.0","","","KETCHUP HELLMANS 250G","2600.0","","Unidades","ALMACÉN / Básico"
"6.0","6.0","","","LA VIRGINIA CAFE SUAVE 100G","6200.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","LA VIRGINIA TE 10 X 25 SAQ","1300.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE BOLDO 6 X 25 SAQ","2500.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE CEDRON 6 X 25","2400.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE CHAI 6 X 20","2800.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE DURAZNO 6 X 20","1900.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE FRUTILLA 6 X 20","2800.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE LIMON 6 X 20","2400.0","","Unidades","ALMACÉN / Básico"
"0.0","0.0","","","LA VIRGINIA TE MANZANILLA 6 X 25","2000.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE MENTA 6 X 25","2000.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE MEZCLA HIERBAS 6 X","2200.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE ROJO 6 X 20","2800.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE TILO 6 X 25","4000.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE TILO/MANZANI/CEDRON","2900.0","","Unidades","ALMACÉN / Básico"
"1.0","1.0","","","LA VIRGINIA TE VERDE 6 X 20","2000.0","","Unidades","ALMACÉN / Básico"
"7.0","7.0","","","LECHE 7 DIAS","1950.0","","Unidades","ALMACÉN / Básico"
"4.66","4.66","","","MANI SALADO GRANEL","1.0","","kg","Insumos de Producción"
"5.0","5.0","","","MANTECA TEODORO","1500.0","","Unidades","REFRIGERADOS"
"1.0","1.0","","","MANÍ CERV. JAMÓN 170G","1850.0","","Unidades","SNACKS / Fraccionado"
"4.0","4.0","","","MANÍ CERV. PANCETA 170G","1850.0","","Unidades","SNACKS / Fraccionado"
"3.0","3.0","","","MANÍ CERV. PIZZA 170G","1850.0","","Unidades","SNACKS / Fraccionado"
"27.0","27.0","","","MANÍ SALADO 170G","1300.0","","Unidades","SNACKS / Fraccionado"
"20.0","20.0","","","MARROC CHICO 14G","1300.0","","Unidades","DULCES"
"5.0","5.0","","","MAYONESA HELLAMNS 237G","1700.0","","Unidades","ALMACÉN / Básico"
"3.71","3.71","","","MEDALLON POLLO ESP / Q","7750.0","","kg","CONGELADOS / Rebozados"
"3.67","3.67","","","MEDALLON POLLO J/Q ","8750.0","","kg","CONGELADOS / Rebozados"
"5.44","5.44","","","MEDALLON POLLO NATURAL","7750.0","","kg","CONGELADOS / Rebozados"
