PRODUCTO,PRECIO,CATEGORIA,SUBCATEGORIA,DESCUENTO,CANTIDAD,RASTREA_STOCK,ESTADO_STOCK
MUSLOS POLLO,4468.0,CONGELADOS,Pollo Crudo,0,0.8,SI,DISPONIBLE
Mapple Huevo,4500.0,ALMACÉN,Básico,0,3.0,SI,DISPONIBLE
NATURA MAYONESA  250G,1900.0,ALMACÉN,Básico,0,10.0,SI,DISPONIBLE
NATURA MOSTAZA 250G,1300.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
NATURA ROCIO VEGETAL,4800.0,ALMACÉN,Básico,0,11.0,SI,DISPONIBLE
NEVI ARVEJAS 340G,700.0,ALMACÉN,Básico,0,4.0,SI,DISPONIBLE
NEVI CHOCLO AMARILLO 340G,1500.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
NEVI CHOCLO AMARILLO CREMOSO 340G,800.0,ALMACÉN,Básico,0,3.0,SI,DISPONIBLE
NEVI LENTEJAS 340G,1000.0,ALMACÉN,Básico,0,4.0,SI,DISPONIBLE
OREGANO 25G,500.0,ALMACÉN,Condimentos,0,15.0,SI,DISPONIBLE
PALITO  AGUA MANZANA,500.0,HELADOS,,0,20.0,SI,DISPONIBLE
PALITO  CREMA  CHOCOLATE,1000.0,HELADOS,,0,20.0,SI,DISPONIBLE
PALITO  CREMA FRUTILLA,1000.0,HELADOS,,0,18.0,SI,DISPONIBLE
PALITO AGUA C DEL CIELO,500.0,HELADOS,,0,20.0,SI,DISPONIBLE
PALITO AGUA NARANJA,500.0,HELADOS,,0,20.0,SI,DISPONIBLE
PALITO AGUA UVA,500.0,HELADOS,,0,20.0,SI,DISPONIBLE
PALITO BOMBOM,1500.0,HELADOS,,0,40.0,SI,DISPONIBLE
PALITOS SALADOS 150G,1200.0,SNACKS,Fraccionado,0,2.0,SI,DISPONIBLE
PAN,2000.0,ALMACÉN,Básico,0,0.0,SI,SIN STOCK
PAN HAMBURGUESA,2300.0,ALMACÉN,Básico,0,5.0,SI,DISPONIBLE
PAN LACTAL 400G,3400.0,ALMACÉN,Básico,0,4.0,SI,DISPONIBLE
PAPAS 90G JULI-CROC,2000.0,SNACKS,Fraccionado,0,6.0,SI,DISPONIBLE
PAPAS FRITAS 1 KG,5700.0,CONGELADOS,Rebozados,0,8.0,SI,DISPONIBLE
PAPAS FRITAS 400G,2300.0,CONGELADOS,Rebozados,0,21.0,SI,DISPONIBLE
PAPAS FRITAS 500G,2850.0,CONGELADOS,Rebozados,0,17.0,SI,DISPONIBLE
PASCUALINA HORNO,3000.0,REFRIGERADOS,,0,4.0,SI,DISPONIBLE
PASTA DE MANI ENTRENUTS NATURAL,3200.0,DIETÉTICA,Saludable,0,2.0,SI,DISPONIBLE
PASTA MANI CROPPERS CRUNCHY,3400.0,DIETÉTICA,Saludable,0,2.0,SI,DISPONIBLE
PASTRAFROLA CHICA BATATA,1400.0,ALMACÉN,,0,3.0,SI,DISPONIBLE
PASTRAFROLA CHICA MEMBRILLO,1400.0,ALMACÉN,,0,0.0,SI,SIN STOCK
PATA  MUSLO,3500.0,CONGELADOS,Pollo Crudo,0,18.3,SI,DISPONIBLE
PATITAS POLLO 400G,3100.0,CONGELADOS,Rebozados,0,9.0,SI,DISPONIBLE
PATITAS POLLO J/Q 400G,3500.0,CONGELADOS,Rebozados,0,12.0,SI,DISPONIBLE
PECHUGA,8000.0,CONGELADOS,Pollo Crudo,0,10.46,SI,DISPONIBLE
PIMENTON DULCE 70G,1700.0,ALMACÉN,Condimentos,0,13.0,SI,DISPONIBLE
POTE BAHIA 1L VAINILLA/FRUTILLA/AMERICANA,7700.0,HELADOS,,0,1.0,SI,DISPONIBLE
POTE BAHIA 3L VAINILLA/ FRUTILLA / DULCE DE LECHE,17500.0,HELADOS,3 LT,25,4.0,SI,DISPONIBLE
POTE SIMBA 1L CHOCOLATE/AMERICANA/FRUTILLA,5500.0,HELADOS,,0,2.0,SI,DISPONIBLE
POTE SIMBA 1L DULCE DE LECHE/ VAINILLA/FRUTILLA,5500.0,HELADOS,,0,1.0,SI,DISPONIBLE
POTE SIMBA 3 CHOCOLATE FRUTILLA AMERICANA,13200.0,HELADOS,3 LT,25,2.0,SI,DISPONIBLE
POTE SIMBA 3 L DULCE DE LECHE/ VAINILLA / FRUTILLA,13200.0,HELADOS,3 LT,25,3.0,SI,DISPONIBLE
PRICENTON ACEITUNAS VERDES,2000.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
PROVENZAL 50G,700.0,ALMACÉN,Condimentos,0,39.0,SI,DISPONIBLE
PURE DE PAPA KNORR 125G,3100.0,ALMACÉN,Básico,0,11.0,SI,DISPONIBLE
PURE TOMATE SABORES 520g,700.0,ALMACÉN,Básico,0,11.0,SI,DISPONIBLE
PUREZA C/ LEVADURA PIZZA,2000.0,ALMACÉN,Básico,0,10.0,SI,DISPONIBLE
RAVIOLES RICOTA X64,4000.0,CONGELADOS,PASTAS,10,0.0,SI,SIN STOCK
RAVIOLES VERDURA X64,4000.0,CONGELADOS,PASTAS,10,0.0,SI,SIN STOCK
REBOSAURIOS,10500.0,CONGELADOS,Rebozados,0,4.19,SI,DISPONIBLE
ROMERO 30G,800.0,ALMACÉN,Condimentos,0,16.0,SI,DISPONIBLE
"SABORIZADA FRESH 1,5 L MANZANA",1600.0,BEBIDA,,0,4.8,SI,DISPONIBLE
"SABORIZADA FRESH 1,5 L POMELO",1600.0,BEBIDA,,0,6.0,SI,DISPONIBLE
SAL FINA DOS ANCLAS 500G,1800.0,ALMACÉN,Básico,0,10.0,SI,DISPONIBLE
SALSA CHIMI AHUMADOX250CC,1500.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
SALSA PROVENZAL X250CC,1500.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
SALSA SOJA X250CC,1900.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
SAN AGUSTIN MOSTACHOL 500G,950.0,ALMACÉN,Básico,0,10.0,SI,DISPONIBLE
SECCO 3L LIMA,2300.0,BEBIDA,,0,5.0,SI,DISPONIBLE
SECCO 3L POMELO,2300.0,BEBIDA,,0,6.0,SI,DISPONIBLE
SORRENTINOS J/Q X10,4000.0,CONGELADOS,PASTAS,10,2.0,SI,DISPONIBLE
"TALLARINES HUEV, 200G",2500.0,CONGELADOS,PASTAS,10,4.0,SI,DISPONIBLE
TAPA EMPANADA HORNO,2500.0,REFRIGERADOS,,0,4.0,SI,DISPONIBLE
TORTA FRITAS X12,3000.0,CONGELADOS,GUSTITOS,10,4.0,SI,DISPONIBLE
"TROZADO 2,5 KG",8000.0,CONGELADOS,Pollo Crudo,0,0.0,SI,SIN STOCK
YERBA LA TRANQUERA 500G,1600.0,ALMACÉN,Básico,0,10.0,SI,DISPONIBLE
YERBA PLAYADITO 500G,2700.0,ALMACÉN,Básico,0,10.0,SI,DISPONIBLE
