"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto/Categoría principal","Categoría del producto/# Productos","Categoría del producto/Nombre","Productos/Categoría del producto","Seguimiento","Rastrear inventario","Tipo de producto"
"5.0","5.0","","","","PAN HAMBURGUESA","2300.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.0","2.0","","","","PAN LACTAL 400G","3400.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","PAPAS 90G JULI-CROC","2000.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"16.5","16.5","","","","PAPAS CRINKLE GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.0","0.0","","","","PAPAS FRITAS 1 KG","5700.0","","Unidades","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"0.0","0.0","","","","PAPAS FRITAS CLASICAS 500G ","2850.0","","Unidades","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"0.0","0.0","","","","PAPAS FRITAS CLASICAS GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"33.0","33.0","","","","PAPAS FRITAS CRINKLE 500G","3400.0","","Unidades","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"1.11","1.11","","","","PAPAS JULI-CROC GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"4.0","4.0","","","","PASCUALIANO HORNO SUMASA","3000.0","","Unidades","","6","REFRIGERADOS","REFRIGERADOS","Por cantidad","True","Bienes"
"0.0","0.0","","","","PASCUALINA HORNO","3000.0","","Unidades","","6","REFRIGERADOS","REFRIGERADOS","Por cantidad","True","Bienes"
"1.0","1.0","","","","PASTA DE MANI ENTRENUTS NATURAL","2400.0","","Unidades","DIETÉTICA","7","Saludable","DIETÉTICA / Saludable","Por cantidad","True","Bienes"
"2.0","2.0","","","","PASTA MANI CROPPERS CRUNCHY","2500.0","","Unidades","DIETÉTICA","7","Saludable","DIETÉTICA / Saludable","Por cantidad","True","Bienes"
"0.0","0.0","","","","PASTRAFROLA CHICA BATATA","1400.0","","Unidades","","76","ALMACÉN","ALMACÉN","Por cantidad","True","Bienes"
"0.0","0.0","","","","PASTRAFROLA CHICA MEMBRILLO","1400.0","","Unidades","","76","ALMACÉN","ALMACÉN","Por cantidad","True","Bienes"
"8.56","8.56","","","","PATA  MUSLO","3500.0","","kg","CONGELADOS","6","Pollo Crudo","CONGELADOS / Pollo Crudo","Por cantidad","True","Bienes"
"0.0","0.0","","","","PATITAS DE POLLO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.0","0.0","","","","PATITAS POLLO 400G","3100.0","","Unidades","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"6.0","6.0","","","","PATITAS POLLO J/Q 400G","3500.0","","Unidades","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"2.4","2.4","","","","PATITAS POLLO J/Q GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"5.52","5.52","","","","PECHUGA","9200.0","","kg","CONGELADOS","6","Pollo Crudo","CONGELADOS / Pollo Crudo","Por cantidad","True","Bienes"
"0.0","0.0","","","","PIMENTON AHUMADO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"13.0","13.0","","","","PIMENTON DULCE 70G","1700.0","","Unidades","ALMACÉN","7","Condimentos","ALMACÉN / Condimentos","Por cantidad","True","Bienes"
"0.93","0.93","","","","PIMENTON DULCE GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.0","0.0","","","","PIMIENTA BLANCA GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"0.0","0.0","","","","PIMIENTA NEGRA GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"0.0","0.0","","","","POTE BAHIA 1L VAINILLA/FRUTILLA/AMERICANA","7700.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"3.0","3.0","","","","POTE BAHIA 3L VAINILLA/ FRUTILLA / DULCE DE LECHE","17500.0","","Unidades","HELADOS","3","3 LT","HELADOS / 3 LT","Por cantidad","True","Bienes"
"2.0","2.0","","","","POTE SIMBA 1L CHOCOLATE/AMERICANA/FRUTILLA","5500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"0.0","0.0","","","","POTE SIMBA 1L DULCE DE LECHE/ VAINILLA/FRUTILLA","5500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"2.0","2.0","","","","POTE SIMBA 3 CHOCOLATE FRUTILLA AMERICANA","13200.0","","Unidades","HELADOS","3","3 LT","HELADOS / 3 LT","Por cantidad","True","Bienes"
"3.0","3.0","","","","POTE SIMBA 3 L DULCE DE LECHE/ VAINILLA / FRUTILLA","13200.0","","Unidades","HELADOS","3","3 LT","HELADOS / 3 LT","Por cantidad","True","Bienes"
"32.0","32.0","","","","POTES BISAGRA PET 350CC","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","True","Bienes"
"1.0","1.0","","","","PRICENTON ACEITUNAS VERDES","2200.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"39.0","39.0","","","","PROVENZAL 50G","700.0","","Unidades","ALMACÉN","7","Condimentos","ALMACÉN / Condimentos","Por cantidad","True","Bienes"
"1.95","1.95","","","","PROVENZAL GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"9.0","9.0","","","","PURE DE PAPA KNORR 125G","3100.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"7.0","7.0","","","","PURE TOMATE SABORES 520g","700.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"6.0","6.0","","","","PUREZA C/ LEVADURA PIZZA","2000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"5.0","5.0","","","","RAVIOLES RICOTA X64","4000.0","","Unidades","CONGELADOS","5","PASTAS","CONGELADOS / PASTAS","Por cantidad","True","Bienes"
"4.0","4.0","","","","RAVIOLES VERDURA X64","4000.0","","Unidades","CONGELADOS","5","PASTAS","CONGELADOS / PASTAS","Por cantidad","True","Bienes"
"2.16","2.16","","","","REBOSAURIOS ","10500.0","","kg","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"0.0","0.0","","","","ROLLO ETI. BALANZA 55X44 X 450U","1.0","","Unidades","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"16.0","16.0","","","","ROMERO 30G","800.0","","Unidades","ALMACÉN","7","Condimentos","ALMACÉN / Condimentos","Por cantidad","True","Bienes"
"0.5","0.5","","","","ROMERO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"4.8","4.8","","","","SABORIZADA FRESH 1,5 L MANZANA","1600.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"2.0","2.0","","","","SABORIZADA FRESH 1,5 L POMELO","1600.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"10.0","10.0","","","","SAL FINA DOS ANCLAS 500G","1800.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.0","2.0","","","","SALSA CHIMI AHUMADOX250CC","1500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.0","2.0","","","","SALSA PROVENZAL X250CC","1500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.0","2.0","","","","SALSA SOJA X250CC","1900.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"9.0","9.0","","","","SAN AGUSTIN MOSTACHOL 500G","950.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"3.0","3.0","","","","SECCO 3L LIMA","2300.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"6.0","6.0","","","","SECCO 3L MANZANA","2300.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"10.0","10.0","","","","SECCO 3L POMELO","2300.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"0.0","0.0","","","","SORRENTINOS J/Q X10","4000.0","","Unidades","CONGELADOS","5","PASTAS","CONGELADOS / PASTAS","Por cantidad","True","Bienes"
"0.0","0.0","","","","SPRITE 2,25 LT","5500.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"3.0","3.0","","","","TALLARINES HUEV, 200G","2500.0","","Unidades","CONGELADOS","5","PASTAS","CONGELADOS / PASTAS","Por cantidad","True","Bienes"
"4.0","4.0","","","","TAPA EMPANADA HORNO","2500.0","","Unidades","","6","REFRIGERADOS","REFRIGERADOS","Por cantidad","True","Bienes"
"5.0","5.0","","","","TAPA EMPANADA HORNO SUMASA","1800.0","","Unidades","","6","REFRIGERADOS","REFRIGERADOS","Por cantidad","True","Bienes"
"0.0","0.0","","","","TOMILLO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"5.0","5.0","","","","TORTA FRITAS X12","3000.0","","Unidades","CONGELADOS","3","GUSTITOS","CONGELADOS / GUSTITOS","Por cantidad","True","Bienes"
"4.0","4.0","","","","TRIO PEPAS","2700.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"3.0","3.0","","","","TROZADO 2,5 KG ","8000.0","","Unidades","CONGELADOS","6","Pollo Crudo","CONGELADOS / Pollo Crudo","Por cantidad","True","Bienes"
"7.5","7.5","","","","TROZADO POLLO","3175.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"8.0","8.0","","","","YERBA LA TRANQUERA 500G","1600.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"9.0","9.0","","","","YERBA PLAYADITO 500G","2300.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
