"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto/Categoría principal","Categoría del producto/# Productos","Categoría del producto/Nombre","Productos/Categoría del producto","Seguimiento","Rastrear inventario","Tipo de producto"
"12.0","12.0","","","","CALDO 4 QUESOS  ALICANTE SOBRE","600.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","CALDO CARNE ALICANTE SOBRE","500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"10.0","10.0","","","","CALDO CHAMPIGNON ALICANTE SOBRE","600.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"11.0","11.0","","","","CALDO CREM/VERDEO. ALICANTE SOBRE","600.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","CALDO FINAS HIERB. ALICANTE SOBRE","600.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","CALDO GALLINA . ALICANTE SOBRE","400.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"11.0","11.0","","","","CALDO PANCETA ALICANTE SOBRE","600.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","CALDO VERDURA ALICANTE SOBRE","500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"0.0","0.0","","","","CAMISETA BLANCA 40X50","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","CANELONES X6","9000.0","","Unidades","CONGELADOS","5","PASTAS","CONGELADOS / PASTAS","Por cantidad","True","Bienes"
"14.0","14.0","","","","CARTABELLA ROLLO COCINAX3","1900.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"0.0","0.0","","","","CARTEL ESTALLIDO 16X12","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","CARTEL ESTALLIDO 4X3","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","CARTEL ESTALLIDO 4X6","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"2.0","2.0","","","","CHAMPIGNION LATA TROZOS","3500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"0.0","0.0","","","","CHIMICHURRI GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"62.0","62.0","","","","CHIPA X MAYOR","1.0","","Unidades","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"10.0","10.0","","","","CHIPA X6 U","4500.0","","Unidades","CONGELADOS","3","GUSTITOS","CONGELADOS / GUSTITOS","Por cantidad","True","Bienes"
"0.6","0.6","","","","CHISITOS JULI-CROC GRANEL ","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"6.0","6.0","","","","CHIZITOS 100G JULI-CROC","1000.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"1.0","1.0","","","","CHOCOLATADA BAGGIO 200CC","250.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"17.0","17.0","","","","CHOCOLATE MISKY 8G BLANCO","500.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"15.0","15.0","","","","CHOCOLATE MISKY 8G NEGRO","500.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"19.0","19.0","","","","CHOCOLATIN DE A DOS","1500.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"0.0","0.0","","","","COCA 2,25LT","5500.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"0.0","0.0","","","","COMBO CLASICOS PATITAS + PAPAS","5200.0","","Unidades","","2","COMBOS","COMBOS","Por cantidad","True","Bienes"
"0.0","0.0","","","","COMBO MEDALLOS CLA. + PAPAS","6300.0","","Unidades","","2","COMBOS","COMBOS","Por cantidad","True","Bienes"
"0.0","0.0","","","","COND. PIZZA GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"9.0","9.0","","","","CONO DDLL","2500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"6.0","6.0","","","","COPA 200 CC DULCE DE LECHE / VAINILLA","2500.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"10.0","10.0","","","","COPA 360CC VAINILLA/ FRUTILLA / DULCE DE LECHE","2300.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","True","Bienes"
"12.0","12.0","","","","CREMICAL DULCE DE LECHE 250 G","1650.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.06","2.06","","","","CREMOSO CREMIGAL","12450.0","","kg","","6","REFRIGERADOS","REFRIGERADOS","Por cantidad","True","Bienes"
"0.0","0.0","","","","CURCUMA GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"3.0","3.0","","","","DIET STEVIA 200MM","1700.0","","Unidades","DIETÉTICA","7","Saludable","DIETÉTICA / Saludable","Por cantidad","True","Bienes"
"2.0","2.0","","","","DOS ANCLAS SAL PARRILLERA","2100.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"8.0","8.0","","","","DOS HERMANOS ARROZ LARGO FINO 500G","750.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"6.0","6.0","","","","DULCY AZUCAR 1KG","1500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.0","2.0","","","","EMETH DULCE DE BATATA","1400.0","","Unidades","DIETÉTICA","7","Saludable","DIETÉTICA / Saludable","Por cantidad","True","Bienes"
"2.0","2.0","","","","EMETH DULCE DE BATATA /C CHOCOLT.","2000.0","","Unidades","DIETÉTICA","7","Saludable","DIETÉTICA / Saludable","Por cantidad","True","Bienes"
"1.0","1.0","","","","EMETH DULCE DE MEMBRILLO","1800.0","","Unidades","DIETÉTICA","7","Saludable","DIETÉTICA / Saludable","Por cantidad","True","Bienes"
"3.0","3.0","","","","EMPANADAS BONDIOLA X6","7000.0","","Unidades","CONGELADOS","3","GUSTITOS","CONGELADOS / GUSTITOS","Por cantidad","True","Bienes"
"20.0","20.0","","","","ENCENDEDOR KRASH","1000.0","","Unidades","","1","CONVENIENCIA","CONVENIENCIA","Por cantidad","True","Bienes"
